b_A01_001.bmp, 1-3-4-7
b_A01_002.bmp, 0-1
b_A01_003.bmp, 0-2-4-5
b_A01_004.bmp, 0-3
b_A01_005.bmp, 0-1-3-6-7
b_A01_006.bmp, 0-1-4
b_A01_007.bmp, 0-3
b_A01_008.bmp, 0-6-7-9
b_A01_009.bmp, 0-2-3-7
b_A01_010.bmp, 0-1-2
b_A01_011.bmp, 1
b_A01_012.bmp, 0-3
b_A01_013.bmp, 0-4
b_A01_014.bmp, 0-2-4
b_A01_015.bmp, 0
b_A01_016.bmp, 0
b_A01_017.bmp, 0-1
b_A01_018.bmp, 1
b_B01_001.bmp, 0-2-3-4
b_B01_002.bmp, 0-4-7
b_B01_003.bmp, 1-4
b_B01_004.bmp, 0-6-7
b_B01_005.bmp, 0-1-3-5
b_B01_006.bmp, 0-3-4-6
b_B01_007.bmp, 0-2
b_B01_008.bmp, 0-3
b_B01_009.bmp, 0-2
b_B01_010.bmp, 0-3
b_B01_011.bmp, 0-1
b_B01_012.bmp, 1-2-3
b_B01_013.bmp, 0-4-7
b_B01_014.bmp, 0-1-2
b_B01_015.bmp, 0-2
b_B01_016.bmp, 0
b_B01_017.bmp, 0-3
b_B01_018.bmp, 1-2-3
b_C01_001.bmp, 0-2-3-4-5-6
b_C01_002.bmp, 0-3
b_C01_003.bmp, 1
b_C01_004.bmp, 1-2-3
b_C01_005.bmp, 1-3-4-5
b_C01_006.bmp, 1
b_C01_007.bmp, 0-3
b_C01_008.bmp, 0-1
b_C01_009.bmp, 0-1-2
b_C01_010.bmp, 0-2
b_C01_011.bmp, 0-2
b_C01_012.bmp, 0-1-2-5
b_C01_013.bmp, 0-1
b_C01_014.bmp, 0-3-4
b_C01_015.bmp, 0-1-3
b_C01_016.bmp, 0-1-3-4
b_C01_017.bmp, 0-3
b_D01_001.bmp, 1-2
b_D01_002.bmp, 0-2-3-4
b_D01_003.bmp, 0
b_D01_004.bmp, 0-3
b_D01_005.bmp, 0-3
b_D01_006.bmp, 0-2
b_D01_007.bmp, 0-3
b_D01_008.bmp, 0-3
b_D01_009.bmp, 0
b_D01_010.bmp, 0-1
b_D01_011.bmp, 0-1-7
b_D01_012.bmp, 0
b_D01_013.bmp, 0-4-5
b_D01_014.bmp, 0
b_D01_015.bmp, 0-1
b_D01_016.bmp, 1-3
b_D01_017.bmp, 0
b_D01_018.bmp, 0
b_E01_001.bmp, 0-3-5
b_E01_002.bmp, 0-3-4
b_E01_003.bmp, 0-2-3-4
b_E01_004.bmp, 0-1-2
b_E01_005.bmp, 1-5
b_E01_006.bmp, 0-1-2
b_E01_007.bmp, 1-2
